Standard Accident Type,Deaths,Injuries,Rescue Time (hrs),Severity,Estimated Ambulances Required,Estimated Structural Damage Cost (INR)
Derailment,100.0,138.0,4,238.0,103,10000000
Collision,11.0,27.0,7,38.0,23,3600000
Collision,22.0,24.0,7,46.0,25,3600000
Collision,120.0,50.0,7,170.0,67,6000000
Derailment,40.0,64.0,7,104.0,50,10000000
Derailment,119.0,180.0,7,299.0,132,10000000
Derailment,12.0,40.0,7,52.0,30,7500000
Derailment,50.0,29.0,7,79.0,36,7500000
Derailment,81.0,100.0,5,181.0,79,10000000
Derailment,10.0,30.0,7,40.0,24,6000000
Collision,5.0,50.0,3,55.0,29,4500000
Derailment,15.0,40.0,7,55.0,31,7500000
Bombing,31.0,32.0,7,63.0,31,15000000
Collision,10.0,18.0,4,28.0,16,3600000
Derailment,136.0,79.0,7,215.0,86,10000000
Derailment,139.0,100.0,7,239.0,98,10000000
Derailment,125.0,22.0,7,147.0,55,10000000
Derailment,104.0,100.0,7,204.0,87,10000000
Collision,18.0,53.0,7,71.0,38,4500000
Collision,0.0,0.0,3,0.0,3,3000000
Derailment,4.0,9.0,3,13.0,9,5000000
Bombing,5.0,12.0,4,17.0,11,10000000
Collision,0.0,0.0,3,0.0,3,3000000
Derailment,9.0,54.0,4,63.0,33,7500000
Derailment,31.0,41.0,7,72.0,36,7500000
Collision,0.0,0.0,8,0.0,7,3000000
Collision,35.0,61.0,4,96.0,45,4500000
Collision,11.0,37.0,4,48.0,25,3600000
Derailment,47.0,0.0,7,47.0,20,6000000
Collision,110.0,0.0,7,110.0,39,6000000
Derailment,120.0,0.0,7,120.0,42,10000000
Derailment,130.0,0.0,7,130.0,45,10000000
Collision,15.0,0.0,7,15.0,11,3000000
Bombing,27.0,0.0,5,27.0,13,12000000
Bombing,55.0,127.0,5,182.0,84,20000000
Bombing,40.0,60.0,5,100.0,46,20000000
Collision,57.0,100.0,5,157.0,72,6000000
Collision,53.0,42.0,7,95.0,43,4500000
Derailment,32.0,50.0,7,82.0,41,7500000
Derailment,70.0,130.0,7,200.0,92,10000000
Collision,85.0,130.0,7,215.0,97,6000000
Collision,0.0,0.0,8,0.0,7,3000000
Derailment,0.0,0.0,3,0.0,3,5000000
Derailment,0.0,0.0,8,0.0,7,5000000
Collision,0.0,0.0,8,0.0,7,3000000
Collision,0.0,0.0,8,0.0,7,3000000
Collision,0.0,0.0,1,0.0,1,3000000
Collision,0.0,0.0,8,0.0,7,3000000
Collision,0.0,0.0,4,0.0,4,3000000
