Standard Accident Type,Deaths,Injuries,Rescue Time (hrs),Severity
Derailment,100.0,138.0,4,238.0
Collision,11.0,27.0,7,38.0
Collision,22.0,24.0,7,46.0
Collision,120.0,50.0,7,170.0
Derailment,40.0,64.0,7,104.0
Derailment,119.0,180.0,7,299.0
Derailment,12.0,40.0,7,52.0
Derailment,50.0,29.0,7,79.0
Derailment,81.0,100.0,5,181.0
Derailment,10.0,30.0,7,40.0
Collision,5.0,50.0,3,55.0
Derailment,15.0,40.0,7,55.0
Bombing,31.0,32.0,7,63.0
Collision,10.0,18.0,4,28.0
Derailment,136.0,79.0,7,215.0
Derailment,139.0,100.0,7,239.0
Derailment,125.0,22.0,7,147.0
Derailment,104.0,100.0,7,204.0
Collision,18.0,53.0,7,71.0
Collision,0.0,0.0,3,0.0
Derailment,4.0,9.0,3,13.0
Bombing,5.0,12.0,4,17.0
Collision,0.0,0.0,3,0.0
Derailment,9.0,54.0,4,63.0
Derailment,31.0,41.0,7,72.0
Collision,0.0,0.0,8,0.0
Collision,35.0,61.0,4,96.0
Collision,11.0,37.0,4,48.0
Derailment,47.0,0.0,7,47.0
Collision,110.0,0.0,7,110.0
Derailment,120.0,0.0,7,120.0
Derailment,130.0,0.0,7,130.0
Collision,15.0,0.0,7,15.0
Bombing,27.0,0.0,5,27.0
Bombing,55.0,127.0,5,182.0
Bombing,40.0,60.0,5,100.0
Collision,57.0,100.0,5,157.0
Collision,53.0,42.0,7,95.0
Derailment,32.0,50.0,7,82.0
Derailment,70.0,130.0,7,200.0
Collision,85.0,130.0,7,215.0
Collision,0.0,0.0,8,0.0
Derailment,0.0,0.0,3,0.0
Derailment,0.0,0.0,8,0.0
Collision,0.0,0.0,8,0.0
Collision,0.0,0.0,8,0.0
Collision,0.0,0.0,1,0.0
Collision,0.0,0.0,8,0.0
Collision,0.0,0.0,4,0.0
Collision,0.0,0.0,1,0.0
Fatality,0.0,0.0,8,0.0
Derailment,21.0,37.0,7,58.0
Derailment,0.0,0.0,3,0.0
Collision,0.0,0.0,3,0.0
Collision,0.0,0.0,1,0.0
Collision,41.0,63.0,7,104.0
Derailment,0.0,0.0,3,0.0
Collision,0.0,0.0,8,0.0
Fire,0.0,0.0,1,0.0
Derailment,0.0,0.0,8,0.0
Collision,0.0,0.0,8,0.0
Derailment,0.0,0.0,8,0.0
Derailment,0.0,0.0,1,0.0
Derailment,0.0,0.0,8,0.0
Collision,0.0,0.0,1,0.0
Derailment,0.0,0.0,3,0.0
Derailment,0.0,0.0,8,0.0
Derailment,0.0,0.0,3,0.0
Derailment,0.0,0.0,1,0.0
Collision,0.0,0.0,1,0.0
Derailment,0.0,0.0,3,0.0
Collision,0.0,0.0,4,0.0
Derailment,0.0,0.0,8,0.0
Collision,0.0,0.0,8,0.0
Structure Collapse,45.0,100.0,5,145.0
Derailment,0.0,0.0,8,0.0
Collision,0.0,0.0,8,0.0
Derailment,0.0,0.0,8,0.0
Collision,0.0,0.0,1,0.0
Derailment,20.0,21.0,4,41.0
Collision,0.0,0.0,3,0.0
Collision,60.0,0.0,5,60.0
Collision,0.0,0.0,3,0.0
Collision,0.0,0.0,3,0.0
Collision,0.0,0.0,6,0.0
Derailment,0.0,0.0,8,0.0
Collision,0.0,0.0,6,0.0
Collision,18.0,25.0,4,43.0
Derailment,0.0,0.0,3,0.0
Collision,0.0,0.0,8,0.0
Collision,0.0,0.0,6,0.0
Collision,5.0,50.0,2,55.0
Derailment,0.0,0.0,3,0.0
Derailment,0.0,0.0,3,0.0
Collision,0.0,0.0,6,0.0
Collision,25.0,0.0,7,25.0
Collision,0.0,0.0,6,0.0
Derailment,800.0,0.0,7,800.0
Collision,50.0,49.0,7,99.0
Derailment,30.0,70.0,7,100.0
Collision,50.0,50.0,7,100.0
Level crossing,25.0,0.0,1,25.0
Collision,43.0,58.0,7,101.0
Derailment,157.0,0.0,5,157.0
Derailment,16.0,0.0,4,16.0
Collision,0.0,0.0,6,0.0
Fire,55.0,0.0,5,55.0
Collision,38.0,0.0,7,38.0
Collision,1.0,300.0,7,301.0
Collision,58.0,0.0,4,58.0
Derailment,53.0,0.0,3,53.0
Bombing,25.0,132.0,7,157.0
Derailment,75.0,0.0,7,75.0
Derailment,105.0,200.0,7,305.0
Derailment,8.0,64.0,5,72.0
Derailment,48.0,0.0,7,48.0
Fire,70.0,0.0,5,70.0
Fire,36.0,0.0,5,36.0
Collision,60.0,0.0,4,60.0
Fire,40.0,0.0,5,40.0
Derailment,30.0,0.0,4,30.0
Collision,27.0,0.0,7,27.0
Collision,41.0,0.0,5,41.0
Collision,0.0,0.0,8,0.0
Derailment,60.0,0.0,5,60.0
Collision,71.0,0.0,7,71.0
Collision,35.0,0.0,3,35.0
Fire,27.0,0.0,7,27.0
Collision,52.0,0.0,4,52.0
Collision,45.0,335.0,7,380.0
Derailment,15.0,0.0,4,15.0
Collision,400.0,0.0,7,400.0
Collision,60.0,0.0,7,60.0
Collision,35.0,0.0,5,35.0
Collision,25.0,0.0,7,25.0
Bombing,33.0,0.0,7,33.0
Bombing,33.0,0.0,7,33.0
Collision,12.0,0.0,4,12.0
Collision,75.0,0.0,2,75.0
Derailment,81.0,0.0,5,81.0
Derailment,0.0,0.0,1,0.0
Bombing,10.0,70.0,5,80.0
Collision,70.0,0.0,7,70.0
Derailment,11.0,50.0,5,61.0
Collision,24.0,32.0,7,56.0
Collision,19.0,27.0,7,46.0
Collision,20.0,33.0,2,53.0
Collision,227.0,0.0,7,227.0
Collision,17.0,200.0,7,217.0
Collision,298.0,349.0,7,647.0
Derailment,50.0,500.0,5,550.0
Derailment,20.0,100.0,7,120.0
Collision,45.0,150.0,5,195.0
Derailment,52.0,300.0,7,352.0
Attack,58.0,43.0,7,101.0
Attack,0.0,200.0,7,200.0
Derailment,12.0,80.0,7,92.0
Collision,30.0,29.0,7,59.0
Derailment,140.0,0.0,4,140.0
Fire,36.0,15.0,7,51.0
Derailment,52.0,26.0,7,78.0
Derailment,21.0,24.0,5,45.0
Derailment,14.0,0.0,7,14.0
Collision,37.0,50.0,7,87.0
Bombing,13.0,50.0,7,63.0
Derailment,16.0,100.0,5,116.0
Derailment,0.0,0.0,3,0.0
Derailment,114.0,200.0,4,314.0
Bombing,230.0,790.0,5,1020.0
Bombing,7.0,53.0,5,60.0
Structure Collapse,17.0,0.0,5,17.0
Attack,0.0,0.0,3,0.0
Derailment,0.0,32.0,4,32.0
Fire,40.0,0.0,3,40.0
Fire,0.0,0.0,6,0.0
Collision,4.0,0.0,4,4.0
Collision,21.0,0.0,7,21.0
Collision,0.0,0.0,1,0.0
Collision,10.0,51.0,5,61.0
Collision,0.0,0.0,3,0.0
Derailment,0.0,0.0,3,0.0
Collision,0.0,0.0,8,0.0
Collision,4.0,0.0,4,4.0
Derailment,0.0,0.0,6,0.0
Derailment,0.0,11.0,4,11.0
Derailment,140.0,200.0,7,340.0
Collision,5.0,0.0,5,5.0
Derailment,0.0,27.0,3,27.0
Collision,66.0,0.0,7,66.0
Collision,4.0,0.0,4,4.0
Collision,4.0,0.0,4,4.0
Collision,0.0,0.0,3,0.0
Derailment,0.0,0.0,3,0.0
Collision,38.0,30.0,7,68.0
Derailment,70.0,300.0,5,370.0
Derailment,0.0,113.0,5,113.0
Derailment,0.0,0.0,1,0.0
Collision,3.0,200.0,5,203.0
Collision,10.0,60.0,7,70.0
Fire,7.0,0.0,5,7.0
Derailment,0.0,20.0,3,20.0
Collision,5.0,9.0,4,14.0
Collision,3.0,1.0,2,4.0
Collision,15.0,0.0,4,15.0
Collision,0.0,2.0,1,2.0
Collision,25.0,43.0,3,68.0
Derailment,5.0,15.0,5,20.0
Collision,1.0,4.0,3,5.0
Fire,47.0,25.0,5,72.0
Fire,1.0,0.0,2,1.0
Collision,0.0,0.0,8,0.0
Collision,0.0,71.0,4,71.0
Derailment,1.0,1.0,5,2.0
Collision,35.0,0.0,5,35.0
Collision,10.0,20.0,3,30.0
Collision,0.0,10.0,3,10.0
Derailment,4.0,12.0,4,16.0
Fire,26.0,12.0,3,38.0
Derailment,1.0,9.0,3,10.0
Bombing,1.0,14.0,5,15.0
Derailment,20.0,100.0,5,120.0
Collision,25.0,58.0,5,83.0
Derailment,4.0,8.0,2,12.0
Collision,20.0,0.0,4,20.0
Derailment,12.0,100.0,5,112.0
Derailment,58.0,150.0,5,208.0
Derailment,5.0,59.0,5,64.0
Derailment,31.0,100.0,7,131.0
Derailment,0.0,39.0,4,39.0
Derailment,2.0,7.0,4,9.0
Derailment,2.0,13.0,7,15.0
Derailment,0.0,0.0,1,0.0
Collision,0.0,7.0,8,7.0
Derailment,0.0,0.0,3,0.0
Collision,1.0,22.0,2,23.0
Derailment,152.0,260.0,7,412.0
Derailment,2.0,6.0,5,8.0
Derailment,0.0,0.0,6,0.0
Derailment,0.0,44.0,4,44.0
Derailment,41.0,69.0,5,110.0
Bombing,0.0,10.0,6,10.0
Derailment,0.0,52.0,5,52.0
Derailment,0.0,24.0,4,24.0
Derailment,23.0,97.0,5,120.0
Derailment,0.0,100.0,4,100.0
Derailment,3.0,9.0,5,12.0
Derailment,0.0,0.0,1,0.0
Derailment,0.0,0.0,3,0.0
